,,Sprint Goal,"Memperbaiki bug kritis (Google Sign-In bypass, dark mode, performa web), menyeragamkan identitas visual Mobile & Web, serta menghadirkan 3 fitur inti baru: Grafik Progress Nutrisi, AI Chatbot Rekomendasi Menu & Olahraga, dan Streak & Achievement.",,,,,,
10,Backend,Tambah moderasi konten komunitas: fitur report post & filter konten tidak relevan,Konten komunitas tidak ter-moderasi: user bisa posting apa saja (tidak ada kaitannya dengan nutrisi/kesehatan).,"Buat endpoint POST /community/report. Tambahkan kategori report (Spam, Konten Tidak Sesuai, SARA). Buat simple admin panel atau flag system: post dengan ≥3 report otomatis di-hide pending review.",IBNU,Core,TODO,Medium,Medium
11,Backend,"User-friendly error handling: sembunyikan error code backend, tampilkan pesan ramah","User melihat error code teknis/backend langsung di UI, terasa tidak profesional dan membingungkan.","Implementasi global error handler di Backend: tangkap semua exception & return pesan error yang manusiawi. Di Frontend: mapping error code ke teks Indonesia yang informatif (contoh: 'Koneksi terputus, coba lagi'). Tidak boleh ada stack trace atau kode HTTP mentah yang tampil.",ADIT,Core,IN REVIEW,High,Low
12,Frontend,fixing bug Tidak bisa add makanan sebelum isi profile,Tidak bisa add makanan sebelum isi profile,,FARID v2,Core,REJECTED,Medium,Low
13,Backend,Validasi & rate limiting edit profil: cegah spam ganti nama username,"Tidak ada batasan perubahan username, user bisa spam ganti nama berkali-kali.","Tambahkan: (1) Validasi input username (min 3 char, max 20 char, no special char kecuali _). (2) Rate limit: max 3x ganti username per 24 jam. (3) Kembalikan pesan error yang jelas jika melanggar batas.",ADIT,Peripheral,IN REVIEW,Medium,Low
14,Backend,Case-insensitive search user di komunitas & chat,User tidak bisa menemukan teman dengan mudah karena search username bersifat case-sensitive.,"Update query search user di endpoint /community/search-user: gunakan ILIKE (PostgreSQL) atau LOWER() comparison. Pastikan hasil terurut berdasarkan relevansi (exact match di atas, partial match di bawah).",IBNU,Peripheral,TODO,Medium,Low
15,UI/UX,Rancang UI/UX halaman Grafik & Progress (kalori & berat badan mingguan/bulanan),User tidak bisa melihat tren perkembangan nutrisi & berat badan mereka dari waktu ke waktu.,Desain halaman Grafik di Figma: (1) Line chart kalori harian 7 hari terakhir vs target. (2) Bar chart makronutrisi mingguan. (3) Grafik berat badan (input manual). Tambahkan toggle Weekly/Monthly. Gunakan warna brand yang sudah distandarisasi.,ERIK,Core,TODO,High,High
16,Backend,Buat API data histori kalori & berat badan untuk grafik perkembangan user,Tidak ada endpoint yang menyediakan data agregat harian/mingguan untuk ditampilkan sebagai grafik.,"Buat endpoint: GET /progress/calories?range=7d|30d (return: [{date, total_kalori, target}]) dan GET /progress/weight?range=30d. Buat tabel weight_logs (user_id, weight, date). Optimasi query dengan indexing pada kolom tanggal.",IBNU,Core,TODO,High,High
17,Frontend,Implementasi halaman Grafik & Progress User (line chart & bar chart interaktif),"Tanpa visualisasi progres, user tidak termotivasi untuk konsisten mencatat nutrisi harian.","Implementasi halaman Grafik menggunakan library chart (fl_chart/Recharts). Integrasikan dengan API /progress/calories dan /progress/weight. Tambahkan: animasi transisi chart, empty state jika data < 3 hari, dan summary card (rata-rata kalori, trend BB).",FARID & RIZQI,Core,REJECTED,High,High
18,UI/UX,Grafik Perkembangan,Grafik Perkembangan,,TARA,Core,TODO,High,High
20,Backend,Implementasi Grafik Perkembangan,Implementasi Grafik Perkembangan,,ADIT,Core,IN REVIEW,High,High
21,Backend,Enhance dataset,,,ADIT,,,,
23,QA,"Testing Sprint 3: bug fixes auth & dark mode, color consistency, Grafik, Streak, AI Chatbot",Fitur-fitur baru dan perbaikan Sprint 3 perlu diverifikasi menyeluruh sebelum demo final.,"Buat test case untuk: (1) Google Sign-In bypass (harus tidak bisa masuk), (2) dark mode di semua halaman, (3) warna konsisten Mobile vs Web, (4) Grafik akurat vs data tracking, (5) Streak increment & reset, (6) Badge unlock, (7) Chatbot response relevan. Laporkan bug via QA Log.",SEMUA,Core,TODO,High,High
24,All Team,Finalisasi dokumentasi produk & persiapan demo akhir Nutrify,Tim perlu menyiapkan presentasi dan dokumentasi yang komprehensif untuk demo final kepada stakeholder/dosen.,"Siapkan: (1) Slide deck demo (problem, solution, fitur Sprint 1-3, metrik user review). (2) Update README dan dokumentasi API. (3) Rekam video walkthrough aplikasi. (4) Deploy versi final ke production. (5) Siapkan QA Log & laporan user testing Sprint 2 untuk lampiran.",ALL TEAM,Peripheral,TODO,High,Medium
25,Backend,Bug Sematkan & Postingan,,,ADIT,,,,
