16,Frontend,Implementasi dropdown aktivitas konsisten & Edit Profile terintegrasi dengan goal,Komponen dropdown yang berbeda-beda dan fitur Change Goal terpisah membuat alur user tidak mulus.,Buat komponen reusable DropdownActivity dipakai di semua halaman. Hapus routing ke halaman Change Goal. Tambahkan section 'Target Saya' (Cutting/Maintenance/Bulking) di dalam halaman Edit Profile.,FARID,Core,DONE,High,Medium
17,Backend,"Tambahkan validasi batas wajar input tinggi badan, berat badan, dan umur pada API",User bisa input nilai tidak masuk akal (berat 999999999999999999999999999999 kg) yang merusak perhitungan TDEE & BMI.,"Update validasi di endpoint Setup Profile & Edit Profile: Tinggi (100–250 cm), Berat (20–300 kg), Umur (10–100 tahun). Kembalikan pesan error informatif jika di luar batas. Sinkronisasi validasi ke Frontend.",ADIT,Core,ONGOING,High,Low
18,UI/UX,Buat Desain untuk fitur komunitas,,Buat Desain untuk fitur komunitas,ERIK,Core,ONGOING,Medium,High
19,Frontend,Implementasi desain fitur komunitas ke frontend aplikasi,,Implementasi desain fitur komunitas ke frontend aplikasi,RIZQI,Core,REJECTED,Medium,High
20,Backend,Implementasi backend dan api untuk fitur komunitas,,Implementasi backend dan api untuk fitur komunitas,IBNU,Core,ONGOING,High,High
21,UI/UX,Buat Desain untuk fitur notifikasi,,Buat Desain untuk fitur notifikasi,TARA,Core,ONGOING,Medium,High
22,Frontend,Implementasi desain fitur notifikasi ke frontend aplikasi,,Implementasi desain fitur notifikasi ke frontend aplikasi,FARID,Core,DONE,Medium,High
23,Backend,Implementasi backend (edge function/socket) untuk fitur nofikasi,,Implementasi backend (edge function/socket) untuk fitur nofikasi,ADIT,Core,ONGOING,High,High
24,UI/UX,Mengubah UI/UX design color combination (menjadi base color putih dan kombinasi warna lain),Warna aplikasi terlalu gelap (kurang cerah) dan UI/UX masih kurang,,ERIK,Core,ONGOING,High,Medium
25,Frontend,Implementasi UI/UX dan warna baru,Warna aplikasi terlalu gelap (kurang cerah) dan UI/UX masih kurang,,FARID,Core,DONE,High,High
25,QA,"Testing Sprint 2: OTP, dataset makanan, rekomendasi/favorit, foto profil & edit profile+goal",Fitur-fitur baru Sprint 2 belum terverifikasi fungsionalitasnya secara menyeluruh.,"Buat test case: alur OTP (kirim, verifikasi, expired, resend), pencarian makanan (tanpa duplikat, hasil relevan), tambah/hapus favorit, upload foto profil, edit profile+goal, validasi input batas wajar. Laporkan bug via QA Log.",SEMUA,Core,ONGOING,High,High
,,,,,YOSEV/evan,,,,
